REGIAO;UF;MUNICIPIO ;CODIGO DO IBGE;DENOMINACAO DA COMUNIDADE;ID QUILOMBOLA;N PROCESSO NA FCP;DATA DA ABERTURA DO PROCESSO;N DO LIVRO DE REGISTRO;N DO REGISTRO;N DA FOLHA DO LIVRO DE REGISTRO;N DA PORTARIA DE CERTIFICACAO;DATA DA PORTARIA NO D.O.U;LINK DA PUBLICACAO NO DOU;N PROCESSO INCRA;LATITUDE - S-N;LONGITUDE - W-E;ENDERECO/TELEFONE DA COMUNIDADE;OBSERVACOES
NORDESTE;BA;JOAO DOURADO;2918357;LAGOA DOS LUNDUS;1.774;01420.003820/2011-36;31/03/2011;13;1.462;78;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54160.001286/2012-89;-11.149168;-41.467613;;
NORDESTE;BA;SAO GABRIEL;2929255;CAROAZAL;1.859;01420.003823/2011-70;31/03/2011;13;1.463;79;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;-10.988849;-41.730259;Ademir Batista de Souza Vieira (74) 99999-2517,  ademirvieira)msn@hotmail.com;
NORDESTE;BA;MUCUGÊ;2921906;BARRIGUDA;1.813;01420.001275/2011-43;04/02/2011;13;1.464;80;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;-12.727422;-41.566817;;
NORDESTE;BA;IBITITÁ;2913101;PEDRA LISA;1.745;01420.001224/2010-31;07/06/2010;13;1.465;81;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54160.000833/2012-17;-11.572636;-41.94605;;
NORDESTE;BA;SAO SEBASTIAO DO PASSE;2929503;PALMEIRA DA ÁGUA BOA;1.863;01420.003294/2011-12;17/03/2011;13;1.466;82;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54160.002843/2011-06;-12.469322;-38.54321;;
NORDESTE;BA;PRESIDENTE DUTRA;2925600;COLOUDO RAMOS;689;01420.000884/2010-02;27/04/2010;13;1.467;83;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;-11.265074;-41.97407;;
NORDESTE;BA;WENCESLAU GUIMARAES;2933505;MUCUGÊ;1.901;01420.008042/2010-91;07/12/2010;13;1.468;84;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;-13.515504;-39.729369;;
NORDESTE;MA;ICATU;2105104;BOCA DA MATA;1.100;01420.000532/2010-49;22/02/2010;13;1.469;85;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;;;;
NORDESTE;MA;PRESIDENTE SARNEY;2109270;CENTRINHO, PASSA BEM E PIRINA;806;01420.002664/2011-96;22/02/2011;13;1.470;86;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;;;;
NORDESTE;MA;SANTA QUITERIA DO MARANHAO;2110104;CANA BRAVA;785;01420.003366/2011-13;17/03/2011;13;1.471;87;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;;;;
SUDESTE;MG;ATALEIA;3104700;SALINEIROS;1.908;01420.003278/2009-05;02/12/2009;13;1.472;88;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54170.004350/2011-83;;;;
NORTE;PA;TOME-ACU;1508001;SAO PEDRO;1.169;01420.001298/2011-58;07/02/2011;13;1.473;89;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54100.002023/2013-82 ;;;;
NORDESTE;SE;ESTÂNCIA;2802106;CURUANHA;1.587;01420.000554/2011-90;26/07/2010;13;1.474;90;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54370.001177/2011-13 ;-11.201872;-37.505906;JosE Augusto (79) 9944-7371/9813-2191;
NORDESTE;SE;RIACHUELO;2805901;QUEBRA CHIFRE;813;01420.001165/2007-03;11/05/2007;13;1.475;91;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;;;;
NORDESTE;BA;IRARÁ;2914505;MASSARANDUBA;1.751;01420.004355/2011-51;15/04/2011;13;1.476;92;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54160.002782/2013-31;-12.076724;-38.6909;;
SUDESTE;MG;RESENDE COSTA;3154200;CURRALINHO DOS PAULAS;1.990;01420.001090/2007-52;07/05/2007;13;1.477;93;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54170.004351/2011-28;-20.81176;-44.23582;;
NORDESTE;BA;MIRANGABA;2921401;DIONISIA E OLHOS D' ÁGUA;1.063;01420.000581/2010-81;19/03/2010;13;1.478;94;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54160.001824/2013-16;-10.897335;-40.494198;;
NORDESTE;MA;CODO;2103307;MONTE CRISTO E MATUZINHO;;01420.004670/2011-88;19/04/2011;13;1.479;95;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54230.001928/2011-98 ;;;;
NORDESTE;BA;IRARÁ;2914505;OLARIA E PEDRA BRANCA;;01420.004353/2011-61;15/04/2011;13;1.480;96;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54160.000557/2013-60;;;;
SUDESTE;MG;SABINOPOLIS;3156809;SANTA BÁRBARA;1.995;01420.004642/2011-61;05/11/2010;13;1.481;97;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54170.004356/2011-51;;;;
SUDESTE;MG;ITAMARANDIBA;3132503;CHICO ALVES, GANGORRA, VENENO, ASA BRANCA, CORREGO FUNDO, GASPAR e CAPOEIRA GRANDE;707;01420.004640/2011-71;17/04/2011;13;1.482;98;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54170.004349/2011-59;;;;
SUDESTE;MG;JANUÁRIA;3135209;QUEBRA GUIADA;1.950;01420.004595/2011-55;20/04/2011;13;1.483;99;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54170.004353/2011-17;;;;
SUDESTE;MG;PEDRAS DE MARIA DA CRUZ;3149150;PALMEIRINHA;1.982;01420.004600/2011-20;20/04/2011;13;1.484;100;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54170.004352/2011-72;;;;
NORDESTE;MA;MATINHA;2106508;TANQUE DE VALENCA;1.295;01420.002617/2011-42;02/03/2011;13;1.485;101;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54230.002023/2008-30 ;;;Antonio Dias - (98) 988842012 / 988127320 - GECIMA PRES. ASS: 98 989067312;
NORDESTE;MA;IGARAPE DO MEIO;2105153;JUTAI;1.306;01420.002623/2011-08;03/03/2011;13;1.486;102;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;;;;;
NORDESTE;BA;LAPAO;2919157;LAGEDO DO PAU D´ARCO;1.787;01420.001039/2011-27;27/01/2011;13;1.487;103;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54160.002689/2014-15;-11.531626;-41.791687;;
SUDESTE;RJ;PETROPOLIS;3303906;TAPERA;2.044;01420.002953/2011-95;16/03/2011;13;1.488;104;65/2011;11/05/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=11/05/2011;54180.000170/2013-75 ;;;;
NORDESTE;BA;CAEM;2905107;BOM JARDIM;776;01420.005870/2011-58;17/05/2011;13;1.489;105;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.001934/2014-69;-11.13697;-40.444376;;
NORDESTE;BA;CAEM;2905107;MONTEIRO;775;01420.005870/2011-58;17/05/2011;13;1.489;105;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.001934/2014-69;-11.13697;-40.444376;;
NORDESTE;BA;CAEM;2905107;PAU SECO;778;01420.005870/2011-58;17/05/2011;13;1.489;105;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.001934/2014-69;-11.13697;-40.444376;;
NORDESTE;BA;CONDEÚBA;2908705;TAMBORIL;1.707;01420.005602/2011-36;11/05/2011;13;1.490;106;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.000618/2012-16;-14.982519;-42.188026;Carlito JosE Pereira - Fazenda Tamboril, 13 - Zona Rural - Condeuba - Bahia - CEP 46200-000 - 77-988375895 - carlitobahia@hotmail.com;
NORDESTE;BA;FILADELFIA;2910859;VÁRZEA DA SERRA;1.725;01420.005872/2011-47;17/05/2011;13;1.491;107;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.001816/2013-70;-10.703421;-40.239385;;
NORDESTE;BA;IBITIARA;2913002;TIRIRICA DE CIMA;1.736;01420.005194/2011-12;04/05/2011;13;1.492;108;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-12.511516;-42.06703;;Chapada da Diamantina
NORDESTE;BA;IBITIARA;2913002;RIACHAO;1.735;01420.005191/2011-89;04/05/2011;13;1.493;109;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-12.562738;-42.043133;;Chapada da Diamantina
NORDESTE;BA;IGRAPIÚNA;2913457;SAPUCAIA;1.747;01420.005193/2011-78;04/05/2011;13;1.494;110;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.000679/2012-75;-13.897018;-39.239248;;
NORDESTE;BA;JOAO DOURADO;2918357;MATA DO MILHO;1.775;01420.006550/2011-15;26/05/2011;13;1.495;111;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-11.184795;-41.425057;;
NORDESTE;BA;JOAO DOURADO;2918357;RIACHO;1.776;01420.006551/2011-60;26/05/2011;13;1.496;112;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-11.101872;-41.466851;;
NORDESTE;BA;POCOES;2925105;LAGOA DO JOAO, PIMENTEIRA e VASSOURA;671;01420.005605/2011-70;10/05/2011;13;1.497;113;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.002267/2012-70;-14.536861;-40.55034;;
NORDESTE;BA;SAO GABRIEL;2929255;BOA HORA;708;01420.006552/2011-12;26/05/2011;13;1.498;114;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-11.061343;-41.613416;;
NORDESTE;BA;SAO GABRIEL;2929255;BUQUEIRAO DOS CARLOS;1.858;01420.006554/2011-01;26/05/2011;13;1.499;115;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.001254/2013-64;-10.944767;-41.643192;;
NORDESTE;BA;SAO GABRIEL;2929255;CURRALINHO;1.860;01420.006558/2011-81;26/05/2011;13;1.500;116;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-10.904547;-41.629615;;
NORDESTE;BA;SENHOR DO BONFIM;2930105;ANACLETO;1.868;01420.001064/2010-20;20/05/2010;13;1.501;117;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;BA;VITORIA DA CONQUISTA;2933307;LARANJEIRAS;1.897;01420.005606/2011-14;10/05/2011;13;1.502;118;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54160.001342/2013-66;-14.860736;-41.022518;;
NORDESTE;CE;QUITERIANOPOLIS;2311264;FURADA;1.443;01420.000409/2011-17;13/01/2011;13;1.503;119;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54130.000080/2012-99 ;;;;
NORDESTE;CE;QUITERIANOPOLIS;2311264;SAO JERÔNIMO;1.445;01420.001214/2009-61;19/05/2009;13;1.504;120;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;MA;CEDRAL;2103109;ENGOLE;1.241;01420.005464/2011-95;29/03/2011;13;1.505;121;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.005145/2011-83 ;;;;
NORDESTE;MA;CENTRAL DO MARANHAO;2103125;BOA VISTA;1.243;01420.005456/2011-49;29/03/2011;13;1.506;122;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.003936/2011-79 ;;;;
NORDESTE;MA;OLINDA NOVA DO MARANHAO;2107456;SAO BENEDITO DOS CARNEIROS;1.310;01420.006225/2011-52;11/05/2011;13;1.507;123;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;MA;SANTA HELENA;2109809;PAU POMBO;1.343;01420.005465/2011-30;29/03/2011;13;1.508;124;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;BRASILIA;865;01420.002618/2011-97;09/03/2011;13;1.509;125;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.004272/2009-14 ;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;PONTA;1.364;01420.005469/2011-18;29/03/2011;13;1.510;126;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.004250/2009-81 ;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;SANTA FILOMENA;1.366;01420.005476/2011-10;29/03/2011;13;1.511;127;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.004246/2009-12 ;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;CEDRO;1.359;01420.005462/2011-04;29/03/2011;13;1.512;128;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.004251/2009-25 ;;;;
NORDESTE;MA;TURILÂNDIA;2112456;PINDOBAL DE FAMA;875;01420.005473/2011-86;12/03/2011;13;1.513;129;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.012479/2010-22 ;;;;
SUDESTE;MG;DIAMANTINA;3121605;VARGEM DO INHAI;1.929;01420.005421/2011-18;30/04/2011;13;1.514;130;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54170.004355/2011-14;-17.842628;-43.580314;;
NORDESTE;PB;POMBAL;2512101;DANIEL;1.471;01420.004888/2011-32;28/04/2011;13;1.515;131;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;PB;POMBAL;2512101;RUFINOS DO SITIO SAO JOAO;1.472;01420.004861/2011-40;28/04/2011;13;1.516;132;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;PE;MIRANDIBA;2609303;FAZENDA QUIXABEIRA HELENA GOMES DA SILVA;1.511;01420.006105/2011-55;14/09/2011;13;1.517;133;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54141.001650/2013-10;529884.209;9100223.194;;
SUL;RS;PIRATINI;4314605;SAO MANOEL;2.120;01420.003321/2011-49;17/03/2011;13;1.518;134;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54220.000745/2011-74;"31° 21' 12,6""";"52° 57' 44,5""";;
NORDESTE;SE;ILHA DAS FLORES;2802700;BONGUE;1.589;01420.005406/2011-61;04/05/2011;13;1.519;135;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54370.001178/2011-50 ;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;BOA ESPERANCA DOS CAMPOS;1.356;01420.005142/2010-65;15/10/2010;13;1.520;136;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
CENTRO-OESTE;MS;NIOAQUE;5005806;FAMILIA BULHOES;2.141;01420.005327/2011-51;06/05/2011;13;1.521;137;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54290.001353/2011-07 ;;;;
CENTRO-OESTE;MS;NIOAQUE;5005806;FAMILIA MARTINS DA CONCEICAO;2.142;01420.002473/2011-24;23/02/2011;13;1.522;138;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54290.000948/2011-37 ;;;;
NORDESTE;BA;LIVRAMENTO DE NOSSA SENHORA;2919504;PAJEÚ;1.800;01420.001257/2010-81;09/06/2010;13;1.523;139;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-13.738059;-42.153065;;
NORDESTE;BA;LIVRAMENTO DE NOSSA SENHORA;2919504;LAGOA DOS COUROS;1.798;01420.001256/2010-36;09/06/2010;13;1.524;140;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;-13.753617;-42.11612;;
NORTE;AP;SANTANA;1600600;IGARAPE DO LAGO;1.190;01420.007090/2011-42;08/06/2011;13;1.525;141;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54350.001037/2013-37 ;;;;
NORDESTE;MA;MIRINZAL;2106805;BOM VIVER;1.298;01420.007125/2011-43;18/04/2011;13;1.526;142;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;MA;SAO VICENTE FERRER;2111706;CANTA GALO I;1.352;01420.006796/2011-97;19/05/2011;13;1.527;143;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;NAZARE;1.363;01420.007133/2011-90;12/10/2008;13;1.528;144;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.004225/2001-11 ;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;SANTA ROSA;1.367;01420.007140/2011-91;07/06/2009;13;1.529;145;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.003943/2011-71 ;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;ACUDE;1.355;01420.007121/2011-65;10/01/2008;13;1.530;146;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;;;;;
NORDESTE;MA;SERRANO DO MARANHAO;2111789;FRECHAL DOS CAMPOS;1.360;01420.007126/2011-98;07/03/2003;13;1.531;147;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54230.004247/2009-67 ;;;Eremilton (98) 98424-4922 - Rua dos Tucanos, 59, Centro, Serrano do MaranhAo/MA, CEP: 65269-000;
SUDESTE;RJ;CABO FRIO;3300704;MARIA JOAQUINA;2.041;01420.006924/2011-01;02/06/2011;13;1.532;148;91/2011;17/06/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=15&data=17/06/2011;54180.000419/2013-42 ;;;;
NORTE;AP;MACAPÁ;1600303;SANTA LÚZIA DO MARUANUM I;1.178;01420.010618/2011-61;11/08/2011;13;1.533;149;165/2011;04/10/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=7&data=04/10/2011;54350.000221/2012-89 ;;;;
NORTE;AP;MACAPÁ;1600303;SAO JOAO DO MARUANUM II;1.180;01420.010619/2011-13;11/08/2011;13;1.534;150;165/2011;04/10/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=7&data=04/10/2011;54350.001694/2013-84 ;;;;
SUDESTE;RJ;CABO FRIO;3300704;MARIA ROMANA;2.042;01420.007498/2011-14;25/05/2011;13;1.535;151;165/2011;04/10/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=7&data=04/10/2011;54180.001440/2011-00 ;;;Lamiel, fone (22) 97402-4248, E-mail: lamiel.pt.spa@hotmail.com;
NORDESTE;BA;SIMOES FILHO;2930709;RIO DOS MACACOS;1.879;01420.011454/2011-99;23/08/2011;13;1.536;152;165/2011;04/10/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=7&data=04/10/2011;54160.003162/2011-57;12°494517;38°271504;;
NORDESTE;PI;REDENCAO DO GURGUEIA;2208700;BREJAO DOS AIPINS;1.410;01420.010844/2011-41;17/08/2011;13;1.537;153;181/2011;08/11/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=21&data=08/11/2011;54330.002282/2005-02;;;;
NORDESTE;CE;OCARA;2309458;MELÂNCIAS;1.438;01420.003633/2010-71;23/09/2010;13;1.538;154;181/2011;08/11/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=21&data=08/11/2011;;;;;
NORDESTE;SE;PIRAMBU;2805307;ALAGAMAR;1.590;01420.007669/2011-13;09/06/2011;13;1.540;156;181/2011;08/11/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=21&data=08/11/2011;54370.001342/2011-29 ;;;;
NORDESTE;SE;CAPELA;2801306;CANTA GALO;576;01420.007670/2011-30;05/05/2011;13;1.541;157;181/2011;08/11/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=21&data=08/11/2011;54370.001341/2011-84 ;;;;
NORDESTE;BA;BONITO;2904050;BOTAFOGO;1.635;01420.013971/2011-01;20/10/2011;13;1.542;158;195/2011;01/12/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=35&data=01/12/2011;54160.002660/2014-25;-12.120431;-41.326619;CONSELHO DAS ASSOCIACOES DAS COMUNIDADES QUILOMBOLAS DE BONITO-CONQBON - PRACA BENEDITO MINA, S/N - BONITO/BA - 75-3343-2635/99985-2672 - ROMULO DOS SANTOS OLIVEIRA;Chapada da Diamantina
NORDESTE;BA;BONITO;2904050;VARAME;1.645;01420.013984/2011-71;20/10/2011;13;1.543;159;195/2011;01/12/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=35&data=01/12/2011;54160.002340/2013-94;-11.93814;-41.314186;;Chapada da Diamantina
NORDESTE;BA;BONITO;2904050;RIO DAS LAGES;1.644;01420.013982/2011-82;20/10/2011;13;1.544;160;195/2011;01/12/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=35&data=01/12/2011;54160.003108/2014-54;-12.106985;-41.234304;;Chapada da Diamantina
NORDESTE;BA;BONITO;2904050;RIBEIRO;1.643;01420.013981/2011-38;20/10/2011;13;1.545;161;195/2011;01/12/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=35&data=01/12/2011;54160.002593/2013-68;-12.083287;-41.318465;;Chapada da Diamantina
NORDESTE;BA;BONITO;2904050;QUIXABÁ;1.642;01420.013980/2011-93;20/10/2011;13;1.546;162;195/2011;01/12/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=35&data=01/12/2011;54160.002338/2013-15;-11.887531;-41.319097;;Chapada da Diamantina
NORDESTE;BA;BONITO;2904050;MATA FLORENCA;1.641;01420.013979/2011-69;20/10/2011;13;1.547;163;195/2011;01/12/2011;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=35&data=01/12/2011;54160.002339/2013-60;-11.85656;-41.262503;;Chapada da Diamantina
